,C,Gamma,Degree,Accuracy,Std
295,12.915496650148826,1e-10,2.0,0.4,0.17291324385075277
296,12.915496650148826,1e-10,3.0,0.9818181818181819,0.029690784761008216
297,12.915496650148826,1e-10,4.0,0.9090909090909091,0.09958591954639384
298,12.915496650148826,1e-10,5.0,0.9575757575757577,0.042854956435548326
299,12.915496650148826,1e-10,6.0,0.890909090909091,0.12151477367129347
300,2154.4346900318865,1.0,2.0,0.8303030303030304,0.18719327529067276
301,2154.4346900318865,1.0,3.0,0.6606060606060606,0.24029366789816978
302,2154.4346900318865,1.0,4.0,0.4848484848484848,0.2622219109428356
303,2154.4346900318865,1.0,5.0,0.37575757575757573,0.25627120620443605
304,2154.4346900318865,1.0,6.0,0.3333333333333333,0.23094010767585033
305,2154.4346900318865,0.0774263682681127,2.0,0.8303030303030304,0.18719327529067276
306,2154.4346900318865,0.0774263682681127,3.0,0.6606060606060606,0.24029366789816978
307,2154.4346900318865,0.0774263682681127,4.0,0.4848484848484848,0.2622219109428356
308,2154.4346900318865,0.0774263682681127,5.0,0.37575757575757573,0.25627120620443605
309,2154.4346900318865,0.0774263682681127,6.0,0.3333333333333333,0.23094010767585033
310,2154.4346900318865,0.005994842503189409,2.0,0.8303030303030304,0.18719327529067276
311,2154.4346900318865,0.005994842503189409,3.0,0.6606060606060606,0.24029366789816978
312,2154.4346900318865,0.005994842503189409,4.0,0.496969696969697,0.2595468255195619
313,2154.4346900318865,0.005994842503189409,5.0,0.2545454545454546,0.19030689052251615
314,2154.4346900318865,0.005994842503189409,6.0,0.0787878787878788,0.025712973861329
315,2154.4346900318865,0.00046415888336127773,2.0,0.8303030303030302,0.16663911618021235
316,2154.4346900318865,0.00046415888336127773,3.0,0.09696969696969697,0.043703651823805936
317,2154.4346900318865,0.00046415888336127773,4.0,0.07272727272727272,0.019165319152535634
318,2154.4346900318865,0.00046415888336127773,5.0,0.06666666666666667,0.0
319,2154.4346900318865,0.00046415888336127773,6.0,0.06666666666666667,0.0
320,2154.4346900318865,3.5938136638046256e-05,2.0,0.30909090909090914,0.1484539238050411
321,2154.4346900318865,3.5938136638046256e-05,3.0,0.09696969696969697,0.043703651823805936
322,2154.4346900318865,3.5938136638046256e-05,4.0,0.07272727272727272,0.019165319152535634
323,2154.4346900318865,3.5938136638046256e-05,5.0,0.06666666666666667,0.0
324,2154.4346900318865,3.5938136638046256e-05,6.0,0.06666666666666667,0.0
325,2154.4346900318865,2.782559402207126e-06,2.0,0.30909090909090914,0.1484539238050411
326,2154.4346900318865,2.782559402207126e-06,3.0,0.09696969696969697,0.043703651823805936
327,2154.4346900318865,2.782559402207126e-06,4.0,0.07272727272727272,0.019165319152535634
328,2154.4346900318865,2.782559402207126e-06,5.0,0.0787878787878788,0.025712973861329
329,2154.4346900318865,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
