,min_impurity,max_depth,min_samples_split,Accuracy,Std
134,2.782559402207126e-06,23.0,4.0,0.6545454545454545,0.26180134626006274
135,2.782559402207126e-06,23.0,5.0,0.6727272727272727,0.24855874732618033
136,2.782559402207126e-06,23.0,6.0,0.6787878787878787,0.24588439727394903
137,2.782559402207126e-06,23.0,7.0,0.6727272727272727,0.2565577028911118
138,2.782559402207126e-06,34.0,2.0,0.6484848484848486,0.260676523243716
139,2.782559402207126e-06,34.0,3.0,0.6242424242424243,0.27746722769114174
140,2.782559402207126e-06,34.0,4.0,0.6545454545454545,0.26180134626006274
141,2.782559402207126e-06,34.0,5.0,0.6727272727272727,0.24855874732618033
142,2.782559402207126e-06,34.0,6.0,0.6787878787878787,0.24588439727394903
143,2.782559402207126e-06,34.0,7.0,0.6727272727272727,0.2565577028911118
144,2.782559402207126e-06,45.0,2.0,0.6484848484848486,0.260676523243716
145,2.782559402207126e-06,45.0,3.0,0.6242424242424243,0.27746722769114174
146,2.782559402207126e-06,45.0,4.0,0.6545454545454545,0.26180134626006274
147,2.782559402207126e-06,45.0,5.0,0.6727272727272727,0.24855874732618033
148,2.782559402207126e-06,45.0,6.0,0.6787878787878787,0.24588439727394903
149,2.782559402207126e-06,45.0,7.0,0.6727272727272727,0.2565577028911118
150,2.782559402207126e-06,56.0,2.0,0.6484848484848486,0.260676523243716
151,2.782559402207126e-06,56.0,3.0,0.6242424242424243,0.27746722769114174
152,2.782559402207126e-06,56.0,4.0,0.6545454545454545,0.26180134626006274
153,2.782559402207126e-06,56.0,5.0,0.6727272727272727,0.24855874732618033
154,2.782559402207126e-06,56.0,6.0,0.6787878787878787,0.24588439727394903
155,2.782559402207126e-06,56.0,7.0,0.6727272727272727,0.2565577028911118
156,2.782559402207126e-06,67.0,2.0,0.6484848484848486,0.260676523243716
157,2.782559402207126e-06,67.0,3.0,0.6242424242424243,0.27746722769114174
